t_1,x_1
0,0.0142
120,0.0264
240,0.0309
360,0.0422
480,0.0632
600,0.0907
720,0.1339
840,0.1492
960,0.1777
1080,0.1759
1200,0.2074
1320,0.2089
1440,0.2457
1560,0.2616
1680,0.2589
1800,0.2944
1920,0.293
2040,0.3198
2160,0.3169
2280,0.3336
2400,0.3538
2520,0.3625
2640,0.3805
2760,0.3897
2880,0.4094
3000,0.4239
3120,0.4244
3240,0.4468
3360,0.4559
3480,0.4699
3600,0.4884
3720,0.4897
3840,0.5053
3960,0.5147
4080,0.527
4200,0.5358
4320,0.5445
4440,0.5535
4560,0.5623
4680,0.58
4800,0.5847