time,x_1,f_VB,F_VB_avg_1,x_2,F_VB_avg_2,,,
0,0.0000,0.3030,0.3030,0.0000,0.3030,,,
2,0.0111,0.3011,0.4722,0.0200,0.3960,,,
4,0.0233,0.2974,0.5380,0.0265,0.5094,,,
6,0.0305,0.2947,0.5675,0.0485,0.4664,,,
8,0.0305,0.2914,0.6721,0.0699,0.4575,,,
10,0.0509,0.2886,0.5717,0.0813,0.4659,,,
12,0.0539,0.2854,0.6122,0.0954,0.4701,,,
14,0.0539,0.2832,0.6522,0.1136,0.4582,,,
16,0.0698,0.2804,0.6041,0.1210,0.4672,,,
18,0.0804,0.2761,0.6108,0.1335,0.4778,,,
20,0.0804,0.2737,0.6388,0.1456,0.4754,,,
22,0.1087,0.2701,0.5734,0.1551,0.4827,,,
24,0.1126,0.2671,0.5867,0.1600,0.4919,,,
26,0.1293,0.2639,0.5666,0.1705,0.4934,,,
28,0.1385,0.2614,0.5621,0.1779,0.4955,,,
30,0.1385,0.2588,0.5779,0.1779,0.5073,,,
32,0.1410,0.2554,0.5936,0.1919,0.5038,,,
34,0.1410,0.2514,0.6176,0.2074,0.5003,,,
36,0.1505,0.2484,0.6112,0.2154,0.5019,,,
38,0.1641,0.2451,0.5982,0.2251,0.5024,,,
40,0.1748,0.2425,0.5889,0.2371,0.4979,,,
42,0.1748,0.2387,0.6068,0.2465,0.4997,,,
44,0.1937,0.2359,0.5824,0.2501,0.5042,,,
46,0.1946,0.2334,0.5915,0.2609,0.5004,,,
48,0.2024,0.2311,0.5867,0.2719,0.4958,,,
50,0.2024,0.2266,0.6043,0.2788,0.5007,,,
52,0.2198,0.2249,0.5802,0.2875,0.4965,,,
54,0.2198,0.2226,0.5887,0.2890,0.5010,,,
56,0.2259,0.2185,0.5927,0.2890,0.5109,,,
58,0.2348,0.2175,0.5820,0.2957,0.5069,,,
60,0.2348,0.2129,0.5968,0.3040,0.5094,,,
62,0.2492,0.2112,0.5799,0.3099,0.5077,,,
64,0.2606,0.2083,0.5720,0.3196,0.5048,,,
66,0.2606,0.2058,0.5788,0.3269,0.5032,,,
68,0.2729,0.2023,0.5715,0.3336,0.5043,,,
70,0.2729,0.2010,0.5749,0.3436,0.4980,,,
72,0.2849,0.1982,0.5662,0.3484,0.4991,,,
74,0.2849,0.1949,0.5745,0.3539,0.5005,,,
76,0.2991,0.1925,0.5621,0.3624,0.4975,,,
78,0.3025,0.1899,0.5639,0.3657,0.4992,,,
80,0.3137,0.1875,0.5558,0.3658,0.5034,,,
82,0.3137,0.1851,0.5610,0.3726,0.5016,,,
84,0.3318,0.1810,0.5488,0.3735,0.5078,,,
86,0.3468,0.1788,0.5370,0.3800,0.5057,,,
88,0.3468,0.1770,0.5406,0.3814,0.5075,,,
90,0.3468,0.1748,0.5445,0.3903,0.5034,,,
92,0.3547,0.1741,0.5377,0.3933,0.5020,,,
94,0.3733,0.1716,0.5237,0.4054,0.4958,,,
96,0.3733,0.1673,0.5308,0.4108,0.4977,,,
98,0.3733,0.1667,0.5320,0.4125,0.4973,,,