time,x_1,f_VB_1,F_VB_avg_1,x_2,f_VB_2,F_VB_avg_2
0,0.000,0.493,0,0.000,0.492,0.000
120,0.021,0.490,0.641,0.014,0.493,0.440
240,0.047,0.487,0.627,0.028,0.493,0.470
360,0.064,0.484,0.626,0.045,0.489,0.556
480,0.083,0.482,0.625,0.064,0.486,0.582
600,0.099,0.479,0.622,0.082,0.483,0.594
720,0.117,0.476,0.628,0.101,0.481,0.597
840,0.132,0.474,0.620,0.121,0.477,0.604
960,0.140,0.470,0.635,0.125,0.472,0.638
1080,0.155,0.469,0.627,0.141,0.469,0.634
1200,0.162,0.459,0.671,0.152,0.466,0.637
1320,0.179,0.458,0.657,0.162,0.461,0.654
1440,0.202,0.453,0.652,0.174,0.458,0.656
1560,0.222,0.452,0.640,0.193,0.455,0.648
1680,0.231,0.445,0.655,0.206,0.452,0.648
1800,0.243,0.444,0.646,0.218,0.448,0.651
1920,0.255,0.441,0.648,0.235,0.445,0.646
2040,0.267,0.436,0.653,0.250,0.442,0.645
2160,0.274,0.434,0.650,0.263,0.437,0.647
2280,0.286,0.430,0.652,0.277,0.435,0.643
2400,0.302,0.428,0.644,0.287,0.432,0.642
2520,0.307,0.426,0.646,0.292,0.428,0.650
2640,0.311,0.421,0.654,0.303,0.424,0.650
2760,0.320,0.422,0.645,0.312,0.422,0.648
2880,0.336,0.418,0.643,0.318,0.417,0.654
3000,0.341,0.412,0.651,0.324,0.414,0.656
3120,0.349,0.408,0.653,0.336,0.412,0.651
3240,0.356,0.404,0.655,0.342,0.408,0.654
3360,0.368,0.404,0.648,0.349,0.405,0.655
3480,0.377,0.397,0.652,0.356,0.401,0.657
3600,0.387,0.391,0.655,0.372,0.398,0.652
3720,0.391,0.391,0.652,0.381,0.396,0.649
3840,0.405,0.389,0.647,0.387,0.391,0.653
3960,0.415,0.383,0.646,0.403,0.390,0.643
4080,0.415,0.382,0.650,0.403,0.384,0.653
4200,0.424,0.377,0.651,0.418,0.383,0.645
4320,0.424,0.373,0.656,0.419,0.380,0.648
4440,0.429,0.374,0.652,0.423,0.377,0.650
4560,0.435,0.369,0.654,0.430,0.372,0.652
4680,0.440,0.370,0.650,0.427,0.368,0.659
4800,0.449,0.362,0.655,0.444,0.368,0.648
4920,0.459,0.359,0.652,0.441,0.364,0.656
5040,0.464,0.359,0.649,0.452,0.363,0.649
5160,0.471,0.351,0.653,0.466,0.360,0.644
5280,0.478,0.349,0.652,0.465,0.355,0.651
5400,0.481,0.350,0.648,0.476,0.354,0.645
5520,0.492,0.350,0.642,0.476,0.350,0.649
5640,0.493,0.344,0.647,0.488,0.347,0.645
5760,0.498,0.342,0.646,0.487,0.343,0.649
5880,0.498,0.338,0.650,0.497,0.342,0.644
6000,0.506,0.336,0.647,,,
6120,0.509,0.334,0.647,,,
6240,0.513,0.328,0.650,,,
6360,0.515,0.326,0.651,,,