x_2,f_VB_2,F_VB_avg_2
-0.01,0.492,0
-0.002,0.493,0.855
0.002,0.493,0.172
0.01,0.489,0.788
0.022,0.486,0.767
0.038,0.483,0.722
0.046,0.481,0.736
0.063,0.477,0.721
0.071,0.472,0.764
0.094,0.469,0.717
0.107,0.466,0.709
0.121,0.461,0.719
0.132,0.458,0.718
0.142,0.455,0.716
0.154,0.452,0.715
0.169,0.448,0.71
0.179,0.445,0.708
0.192,0.442,0.706
0.204,0.437,0.707
0.208,0.435,0.711
0.213,0.432,0.715
0.228,0.428,0.712
0.237,0.424,0.713
0.25,0.422,0.705
0.26,0.417,0.706
0.274,0.414,0.7
0.289,0.412,0.69
0.291,0.408,0.697
0.3,0.405,0.694
0.3,0.401,0.705
0.319,0.398,0.695
0.33,0.396,0.688
0.333,0.391,0.695
0.34,0.39,0.69
0.347,0.384,0.696
0.356,0.383,0.69
0.368,0.38,0.686
0.375,0.377,0.685
0.38,0.372,0.686
0.38,0.368,0.695
0.386,0.368,0.69
0.392,0.364,0.692
0.403,0.363,0.684
0.41,0.36,0.683
0.414,0.355,0.687
0.422,0.354,0.683
0.426,0.35,0.685
0.436,0.347,0.68
0.441,0.343,0.681
0.441,0.342,0.683