time,x_1,f_VB_1,F_VB_avg_1,x_2,f_VB_2,F_VB_avg_2,,,
0,0.000,0.493,0,-0.010,0.492,0.000,,,
120,0.002,0.490,2.538,-0.002,0.493,0.855,,,
240,0.002,0.487,0.848,0.002,0.493,0.172,,,
360,0.002,0.484,4.418,0.010,0.489,0.788,,,
480,0.025,0.482,0.785,0.022,0.486,0.767,,,
600,0.025,0.479,1.038,0.038,0.483,0.722,,,
720,0.037,0.476,0.847,0.046,0.481,0.736,,,
840,0.037,0.474,0.991,0.063,0.477,0.721,,,
960,0.087,0.470,0.735,0.071,0.472,0.764,,,
1080,0.101,0.469,0.710,0.094,0.469,0.717,,,
1200,0.116,0.459,0.749,0.107,0.466,0.709,,,
1320,0.116,0.458,0.763,0.121,0.461,0.719,,,
1440,0.127,0.453,0.770,0.132,0.458,0.718,,,
1560,0.143,0.452,0.744,0.142,0.455,0.716,,,
1680,0.147,0.445,0.775,0.154,0.452,0.715,,,
1800,0.154,0.444,0.763,0.169,0.448,0.710,,,
1920,0.181,0.441,0.733,0.179,0.445,0.708,,,
2040,0.185,0.436,0.748,0.192,0.442,0.706,,,
2160,0.193,0.434,0.740,0.204,0.437,0.707,,,
2280,0.199,0.430,0.748,0.208,0.435,0.711,,,
2400,0.220,0.428,0.725,0.213,0.432,0.715,,,
2520,0.227,0.426,0.723,0.228,0.428,0.712,,,
2640,0.227,0.421,0.740,0.237,0.424,0.713,,,
2760,0.246,0.422,0.711,0.250,0.422,0.705,,,
2880,0.255,0.418,0.706,0.260,0.417,0.706,,,
3000,0.255,0.412,0.732,0.274,0.414,0.700,,,
3120,0.274,0.408,0.720,0.289,0.412,0.690,,,
3240,0.280,0.404,0.723,0.291,0.408,0.697,,,
3360,0.283,0.404,0.721,0.300,0.405,0.694,,,
3480,0.291,0.397,0.728,0.300,0.401,0.705,,,
3600,0.307,0.391,0.724,0.319,0.398,0.695,,,
3720,0.319,0.391,0.711,0.330,0.396,0.688,,,
3840,0.323,0.389,0.712,0.333,0.391,0.695,,,
3960,0.323,0.383,0.724,0.340,0.390,0.690,,,
4080,0.327,0.382,0.723,0.347,0.384,0.696,,,
4200,0.339,0.377,0.716,0.356,0.383,0.690,,,
4320,0.339,0.373,0.728,0.368,0.380,0.686,,,
4440,0.358,0.374,0.707,0.375,0.377,0.685,,,
4560,0.358,0.369,0.716,0.380,0.372,0.686,,,
4680,0.364,0.370,0.709,0.380,0.368,0.695,,,
4800,0.372,0.362,0.715,0.386,0.368,0.690,,,
4920,0.385,0.359,0.709,0.392,0.364,0.692,,,
5040,0.391,0.359,0.703,0.403,0.363,0.684,,,
5160,0.400,0.351,0.707,0.410,0.360,0.683,,,
5280,0.402,0.349,0.709,0.414,0.355,0.687,,,
5400,0.407,0.350,0.702,0.422,0.354,0.683,,,
5520,0.408,0.350,0.702,0.426,0.350,0.685,,,
5640,0.409,0.344,0.709,0.436,0.347,0.680,,,
5760,0.423,0.342,0.700,0.441,0.343,0.681,,,
5880,0.423,0.338,0.698,0.441,0.342,0.683,,,
6000,0.429,0.336,0.697,,,,,,
6120,0.429,0.334,0.706,,,,,,
6240,0.439,0.328,0.705,,,,,,
6360,0.442,0.326,0.705,,,,,,